Date,Type,Sales,ForecastSales,LowerCI,UpperCI
2015-01-01,Actual,14236.9,,,
2015-02-01,Actual,4519.89,,,
2015-03-01,Actual,55691.01,,,
2015-04-01,Actual,28295.35,,,
2015-05-01,Actual,23648.29,,,
2015-06-01,Actual,34595.13,,,
2015-07-01,Actual,33946.39,,,
2015-08-01,Actual,27909.47,,,
2015-09-01,Actual,81777.35,,,
2015-10-01,Actual,31453.39,,,
2015-11-01,Actual,78628.72,,,
2015-12-01,Actual,69545.62,,,
2016-01-01,Actual,18174.08,,,
2016-02-01,Actual,11951.41,,,
2016-03-01,Actual,38726.25,,,
2016-04-01,Actual,34195.21,,,
2016-05-01,Actual,30131.69,,,
2016-06-01,Actual,24797.29,,,
2016-07-01,Actual,28765.33,,,
2016-08-01,Actual,36898.33,,,
2016-09-01,Actual,64595.92,,,
2016-10-01,Actual,31404.92,,,
2016-11-01,Actual,75972.56,,,
2016-12-01,Actual,74919.52,,,
2017-01-01,Actual,18542.49,,,
2017-02-01,Actual,22978.82,,,
2017-03-01,Actual,51715.88,,,
2017-04-01,Actual,38750.04,,,
2017-05-01,Actual,56987.73,,,
2017-06-01,Actual,40344.53,,,
2017-07-01,Actual,39261.96,,,
2017-08-01,Actual,31115.37,,,
2017-09-01,Actual,73410.02,,,
2017-10-01,Actual,59687.75,,,
2017-11-01,Actual,79411.97,,,
2017-12-01,Actual,96999.04,,,
2018-01-01,Actual,43971.37,,,
2018-02-01,Actual,20301.13,,,
2018-03-01,Actual,58872.35,,,
2018-04-01,Actual,36521.54,,,
2018-05-01,Actual,44261.11,,,
2018-06-01,Actual,52981.73,,,
2018-07-01,Actual,45264.42,,,
2018-08-01,Actual,63120.89,,,
2018-09-01,Actual,87866.65,,,
2018-10-01,Actual,77776.92,,,
2018-11-01,Actual,118447.82,,,
2018-12-01,Actual,83829.32,,,
2019-01-01,Forecast,,47337.46,31007.82,63667.1
2019-02-01,Forecast,,39353.19,23023.55,55682.83
2019-03-01,Forecast,,76412.27,60082.63,92741.91
2019-04-01,Forecast,,60367.03,44037.39,76696.67
2019-05-01,Forecast,,65417.34,49087.71,81746.98
2019-06-01,Forecast,,65517.53,49187.89,81847.17
